"","orient","site",".value"
"542","top - bot","fb",-2.01087574487701
"543","top - bot","fb",-2.26677814153035
"544","top - bot","fb",-2.11699020825453
"545","top - bot","fb",-1.93420863094997
"546","top - bot","fb",-2.19041555434275
"547","top - bot","fb",-1.34203991842571
"548","top - bot","fb",-2.18733391328987
"549","top - bot","fb",-1.58443426247857
"550","top - bot","fb",-2.14721865661108
"551","top - bot","fb",-2.24992899141557
"552","top - bot","fb",-2.12782288420899
"553","top - bot","fb",-2.1640115505324
"554","top - bot","fb",-2.02038887500668
"555","top - bot","fb",-2.34657242722923
"556","top - bot","fb",-2.57294636619536
"557","top - bot","fb",-2.18553376567199
"558","top - bot","fb",-2.34441425066745
"559","top - bot","fb",-2.45902645460984
"560","top - bot","fb",-2.71895714232225
"561","top - bot","fb",-2.19935109353154
"562","top - bot","fb",-2.29000562504394
"563","top - bot","fb",-2.30930396451626
"564","top - bot","fb",-2.2476924261141
"565","top - bot","fb",-1.08002324321391
"566","top - bot","fb",-0.928101033736247
"567","top - bot","fb",-1.04927352128022
"568","top - bot","fb",-1.45992771032152
"569","top - bot","fb",-1.50191434224696
"570","top - bot","fb",-1.62330430321996
"571","top - bot","fb",-1.32762384909776
"572","top - bot","fb",-1.39083500065575
"573","top - bot","fb",-1.12523810225961
"574","top - bot","fb",-1.20272085859245
"575","top - bot","fb",-1.33494377589072
"576","top - bot","fb",-0.983229156987929
"577","top - bot","fb",-1.38482798812027
"578","top - bot","fb",-1.49864137456131
"579","top - bot","fb",-1.07090207608887
"580","top - bot","fb",-1.05982801357017
"581","top - bot","fb",-2.05826769382409
"582","top - bot","fb",-1.8708520822478
"583","top - bot","fb",-1.6706129939808
"584","top - bot","fb",-1.58086477643189
"585","top - bot","fb",-1.94074498908378
"586","top - bot","fb",-2.58818504747198
"587","top - bot","fb",-2.18530466421446
"588","top - bot","fb",-1.72931311028529
"589","top - bot","fb",-1.38273676012257
"590","top - bot","fb",-1.50225441802566
"591","top - bot","fb",-1.56620395492231
"592","top - bot","fb",-1.30492386068562
"593","top - bot","fb",-1.10589855659679
"594","top - bot","fb",-1.06810266011471
"595","top - bot","fb",-1.59842202091134
"596","top - bot","fb",-1.18361988868933
"597","top - bot","fb",-1.35488524893269
"598","top - bot","fb",-1.04865803836532
"599","top - bot","fb",-1.42494260255369
"600","top - bot","fb",-1.74457295502476
"601","top - bot","fb",-1.82000767155176
"602","top - bot","fb",-1.75627958973228
"603","top - bot","fb",-1.64022489877765
"604","top - bot","fb",-1.14427041227517
"605","top - bot","fb",-1.10883839934731
"606","top - bot","fb",-1.58824142625576
"607","top - bot","fb",-1.94334213797759
"608","top - bot","fb",-2.07732029554913
"609","top - bot","fb",-2.19276982687952
"610","top - bot","fb",-2.45925464561736
"611","top - bot","fb",-2.63302020885899
"612","top - bot","fb",-2.86805351216034
"613","top - bot","fb",-2.86278387747119
"614","top - bot","fb",-2.45870432628899
"615","top - bot","fb",-1.88132428365183
"616","top - bot","fb",-1.62050435353655
"617","top - bot","fb",-1.0219664709484
"618","top - bot","fb",-1.15231415126348
"619","top - bot","fb",-1.00516145141336
"620","top - bot","fb",-1.19628165677825
"621","top - bot","fb",-1.1396807034342
"622","top - bot","fb",-0.793468966635586
"623","top - bot","fb",-0.878445994440955
"624","top - bot","fb",-2.00815866542735
"625","top - bot","fb",-2.56222470390059
"626","top - bot","fb",-2.19589157681984
"627","top - bot","fb",-1.88772920189441
"628","top - bot","fb",-2.01292806354498
"629","top - bot","fb",-2.17856246517872
"630","top - bot","fb",-2.48197088357135
"631","top - bot","fb",-2.39345479444073
"632","top - bot","fb",-2.33238719875398
"633","top - bot","fb",-2.2285207670144
"634","top - bot","fb",-2.31357270581669
"635","top - bot","fb",-1.66417426848814
"636","top - bot","fb",-1.446753097194
"637","top - bot","fb",-1.82558737469281
"638","top - bot","fb",-1.91755009032189
"639","top - bot","fb",-2.23622191967788
"640","top - bot","fb",-2.28246899761429
"641","top - bot","fb",-1.92967744526921
"642","top - bot","fb",-1.61732440464383
"643","top - bot","fb",-1.32084085712394
"644","top - bot","fb",-1.54532239012424
"645","top - bot","fb",-1.63903012179001
"646","top - bot","fb",-1.66598078053922
"647","top - bot","fb",-1.97662292350839
"648","top - bot","fb",-1.74471123118739
"649","top - bot","fb",-1.48969993772158
"650","top - bot","fb",-1.27060421715645
"651","top - bot","fb",-1.5604220397434
"652","top - bot","fb",-2.24010833505947
"653","top - bot","fb",-2.09114331711532
"654","top - bot","fb",-2.8534477604591
"655","top - bot","fb",-2.00179314230621
"656","top - bot","fb",-2.27632382747862
"657","top - bot","fb",-1.79670029212354
"658","top - bot","fb",-1.52721115970941
"659","top - bot","fb",-1.78345235954561
"660","top - bot","fb",-1.43010317620654
"661","top - bot","fb",-1.99719134703264
"662","top - bot","fb",-1.74194227009368
"663","top - bot","fb",-1.65599134252589
"664","top - bot","fb",-1.76530931081771
"665","top - bot","fb",-1.93742583027951
"666","top - bot","fb",-2.29252399667677
"667","top - bot","fb",-2.37746817686698
"668","top - bot","fb",-2.6051983108073
"669","top - bot","fb",-2.33641564072381
"670","top - bot","fb",-2.17325385778327
"671","top - bot","fb",-2.20017180169706
"672","top - bot","fb",-1.99203724563059
"673","top - bot","fb",-2.05012211832601
"674","top - bot","fb",-1.84272856128803
"675","top - bot","fb",-1.59266546871401
"676","top - bot","fb",-1.46661686447037
"677","top - bot","fb",-1.97082183738454
"678","top - bot","fb",-1.7877525619401
"679","top - bot","fb",-1.68256618957226
"680","top - bot","fb",-1.80094785107044
"681","top - bot","fb",-1.55390786792995
"682","top - bot","fb",-2.41635435834089
"683","top - bot","fb",-2.48711951346983
"684","top - bot","fb",-2.47558693032906
"685","top - bot","fb",-2.06245451234606
"686","top - bot","fb",-1.7250670760644
"687","top - bot","fb",-1.31464624811806
"688","top - bot","fb",-1.46668937423611
"689","top - bot","fb",-1.80983057586157
"690","top - bot","fb",-2.301871085938
"691","top - bot","fb",-2.09979407989361
"692","top - bot","fb",-2.05962773554673
"693","top - bot","fb",-1.83645898045791
"694","top - bot","fb",-1.99473421601142
"695","top - bot","fb",-2.10149285057793
"696","top - bot","fb",-2.09843799598317
"697","top - bot","fb",-2.15461423960868
